,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
217795,HOTUSDT_15m_orders.xlsx,HOTUSDT,15m,bearish_divergence_below_rsi40,2,2.77,0.002664,23/05/2022 14:00,1653314399999,0.00274,1653318899999,0,-2.77,-1,-1
299084,NEOUSDT_15m_orders.xlsx,NEOUSDT,15m,bearish_divergence_below_rsi40,2,3.83,12.013,23/05/2022 14:00,1653314399999,11.725,1653333299999,1,2.0,-1,-1
387730,STMXUSDT_15m_orders.xlsx,STMXUSDT,15m,bearish_divergence_below_rsi40,2,2.75,0.01024,23/05/2022 14:00,1653314399999,0.00999,1653328799999,1,2.0,-1,-1
443812,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence_below_rsi40,2,2.07,0.13549,23/05/2022 14:00,1653314399999,0.13223,1653333299999,1,2.0,-1,-1
4626,1INCHUSDT_15m_orders.xlsx,1INCHUSDT,15m,bearish_divergence_below_rsi40,2,2.5,0.9973,23/05/2022 14:15,1653315299999,1.0248,1653319799999,0,-2.5,-1,-1
56236,BAKEUSDT_15m_orders.xlsx,BAKEUSDT,15m,bearish_divergence_below_rsi40,2,3.89,0.2993,23/05/2022 14:15,1653315299999,0.292,1653333299999,1,2.0,-1,-1
138336,DASHUSDT_15m_orders.xlsx,DASHUSDT,15m,bearish_divergence_below_rsi40,2,3.02,62.85,23/05/2022 14:15,1653315299999,60.95,1653334199999,1,2.0,-1,-1
153099,DOGEUSDT_15m_orders.xlsx,DOGEUSDT,15m,bearish_divergence_below_rsi40,2,2.34,0.08638,23/05/2022 14:15,1653315299999,0.08461,1653333299999,1,2.0,-1,-1
159810,DUSKUSDT_15m_orders.xlsx,DUSKUSDT,15m,bearish_divergence_below_rsi40,2,4.47,0.14263,23/05/2022 14:15,1653315299999,0.1387,1653334199999,1,2.0,-1,-1
182614,ETHUSDT_15m_orders.xlsx,ETHUSDT,15m,bearish_divergence_below_rsi40,2,1.86,2045.83,23/05/2022 14:15,1653315299999,1988.17,1653334199999,1,2.0,-1,-1
193544,FLOWUSDT_15m_orders.xlsx,FLOWUSDT,15m,bearish_divergence_below_rsi40,2,3.18,2.896,23/05/2022 14:15,1653315299999,2.808,1653334199999,1,2.0,-1,-1
200513,GALAUSDT_15m_orders.xlsx,GALAUSDT,15m,bearish_divergence_below_rsi40,2,6.0,0.08592,23/05/2022 14:15,1653315299999,0.08355,1653333299999,1,2.0,-1,-1
321772,ONTUSDT_15m_orders.xlsx,ONTUSDT,15m,bearish_divergence_below_rsi40,2,3.36,0.2965,23/05/2022 14:15,1653315299999,0.289,1653334199999,1,2.0,-1,-1
333283,RAYUSDT_15m_orders.xlsx,RAYUSDT,15m,bearish_divergence_below_rsi40,2,2.23,1.098,23/05/2022 14:15,1653315299999,1.124,1653323399999,0,-2.23,-1,-1
