,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
463512,YFIUSDT_15m_orders.xlsx,YFIUSDT,15m,bearish_divergence_1-3,2,1.23,41574.0,16/08/2021 12:15,1629116099999,40395.0,1629121499999,1,2.0,-1,-1
48676,AVAXUSDT_15m_orders.xlsx,AVAXUSDT,15m,bearish_divergence_1-3,2,1.71,20.036,16/08/2021 12:30,1629116999999,19.4,1629121499999,1,2.0,-1,-1
258967,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bearish_divergence_1-3,2,1.79,30.02,16/08/2021 12:30,1629116999999,29.131,1629122399999,1,2.0,-1,-1
361025,SANDUSDT_15m_orders.xlsx,SANDUSDT,15m,bearish_divergence_1-3,2,3.41,0.67196,16/08/2021 12:30,1629116999999,0.655,1629121499999,1,2.0,-1,-1
366316,SFPUSDT_15m_orders.xlsx,SFPUSDT,15m,bearish_divergence_1-3,2,2.68,1.3242,16/08/2021 12:30,1629116999999,1.2856,1629121499999,1,2.0,-1,-1
458538,XTZUSDT_15m_orders.xlsx,XTZUSDT,15m,bearish_divergence_1-3,2,1.33,3.85,16/08/2021 12:30,1629116999999,3.764,1629121499999,1,2.0,-1,-1
27943,ANKRUSDT_15m_orders.xlsx,ANKRUSDT,15m,bearish_divergence_1-3,2,1.58,0.10891,16/08/2021 12:45,1629117899999,0.10497,1629121499999,1,2.0,-1,-1
156091,DOTUSDT_15m_orders.xlsx,DOTUSDT,15m,bearish_divergence_1-3,2,1.92,24.995,16/08/2021 12:45,1629117899999,24.3,1629121499999,1,2.0,-1,-1
364066,SCUSDT_15m_orders.xlsx,SCUSDT,15m,bearish_divergence_1-3,2,2.93,0.019946,16/08/2021 12:45,1629117899999,0.019416,1629121499999,1,2.0,-1,-1
481167,ZRXUSDT_15m_orders.xlsx,ZRXUSDT,15m,bearish_divergence_1-3,2,2.29,1.0924,16/08/2021 13:00,1629118799999,1.0537,1629121499999,1,2.0,-1,-1
149917,DGBUSDT_15m_orders.xlsx,DGBUSDT,15m,bearish_divergence_1-3,2,3.35,0.07031,16/08/2021 13:45,1629121499999,0.06845,1629122399999,1,2.0,-1,-1
195519,FTMUSDT_15m_orders.xlsx,FTMUSDT,15m,bearish_divergence_1-3,2,2.61,0.41674,16/08/2021 19:15,1629141299999,0.40033,1629143999999,1,2.0,1,1
156095,DOTUSDT_15m_orders.xlsx,DOTUSDT,15m,bearish_divergence_1-3,2,2.74,25.036,16/08/2021 19:30,1629142199999,24.056,1629144899999,1,2.0,1,2
294254,NEARUSDT_15m_orders.xlsx,NEARUSDT,15m,bearish_divergence_1-3,2,5.36,3.3812,16/08/2021 20:15,1629144899999,3.3049,1629144899999,1,2.0,1,2
394644,SUSHIUSDT_15m_orders.xlsx,SUSHIUSDT,15m,bearish_divergence_1-3,2,6.33,12.627,16/08/2021 20:15,1629144899999,12.005,1629160199999,1,2.0,1,3
440340,XEMUSDT_15m_orders.xlsx,XEMUSDT,15m,bearish_divergence_1-3,2,5.57,0.2168,16/08/2021 20:15,1629144899999,0.2123,1629144899999,1,2.0,1,4
163790,EGLDUSDT_15m_orders.xlsx,EGLDUSDT,15m,bearish_divergence_1-3,2,3.16,154.66,17/08/2021 13:00,1629205199999,150.98,1629216899999,1,2.0,1,1
394649,SUSHIUSDT_15m_orders.xlsx,SUSHIUSDT,15m,bearish_divergence_1-3,2,3.43,13.973,17/08/2021 13:15,1629206099999,13.555,1629219599999,1,2.0,1,2
137990,DASHUSDT_15m_orders.xlsx,DASHUSDT,15m,bearish_divergence_1-3,2,2.11,210.59,19/08/2021 02:00,1629338399999,204.8,1629342899999,1,2.0,1,1
163796,EGLDUSDT_15m_orders.xlsx,EGLDUSDT,15m,bearish_divergence_1-3,2,3.6,147.91,19/08/2021 02:30,1629340199999,141.61,1629342899999,1,2.0,1,2
306435,OCEANUSDT_15m_orders.xlsx,OCEANUSDT,15m,bearish_divergence_1-3,2,2.97,0.79091,19/08/2021 08:15,1629360899999,0.81554,1629363599999,0,-2.97,1,1
48688,AVAXUSDT_15m_orders.xlsx,AVAXUSDT,15m,bearish_divergence_1-3,2,3.91,32.478,19/08/2021 09:00,1629363599999,31.606,1629367199999,1,2.0,1,2
123378,CRVUSDT_15m_orders.xlsx,CRVUSDT,15m,bearish_divergence_1-3,2,1.58,2.06,19/08/2021 17:00,1629392399999,2.105,1629392399999,0,-1.58,1,1
255340,LINAUSDT_15m_orders.xlsx,LINAUSDT,15m,bearish_divergence_1-3,2,2.97,0.06399,19/08/2021 19:45,1629402299999,0.06221,1629404099999,1,2.0,1,1
147452,DENTUSDT_15m_orders.xlsx,DENTUSDT,15m,bearish_divergence_1-3,2,1.78,0.00733,20/08/2021 00:15,1629418499999,0.007494,1629419399999,0,-1.78,1,1
137994,DASHUSDT_15m_orders.xlsx,DASHUSDT,15m,bearish_divergence_1-3,2,1.06,219.57,20/08/2021 00:45,1629420299999,222.19,1629420299999,0,-1.06,1,1
394655,SUSHIUSDT_15m_orders.xlsx,SUSHIUSDT,15m,bearish_divergence_1-3,2,1.16,14.153,20/08/2021 01:00,1629421199999,14.406,1629424799999,0,-1.16,1,1
443454,XLMUSDT_15m_orders.xlsx,XLMUSDT,15m,bearish_divergence_1-3,2,1.52,0.3667,20/08/2021 01:00,1629421199999,0.3736,1629438299999,0,-1.52,1,2
86646,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence_1-3,2,1.47,430.47,20/08/2021 01:15,1629422099999,443.25,1629469799999,0,-1.47,1,3
112114,CHZUSDT_15m_orders.xlsx,CHZUSDT,15m,bearish_divergence_1-3,2,1.71,0.34586,20/08/2021 01:15,1629422099999,0.35293,1629431099999,0,-1.71,1,4
255342,LINAUSDT_15m_orders.xlsx,LINAUSDT,15m,bearish_divergence_1-3,2,4.64,0.06619,20/08/2021 01:30,1629422999999,0.06461,1629425699999,1,2.0,1,5
186710,FILUSDT_15m_orders.xlsx,FILUSDT,15m,bearish_divergence_1-3,2,1.23,70.8,20/08/2021 02:15,1629425699999,71.851,1629467999999,0,-1.23,1,5
353693,RUNEUSDT_15m_orders.xlsx,RUNEUSDT,15m,bearish_divergence_1-3,2,1.57,8.957,20/08/2021 03:15,1629429299999,9.197,1629433799999,0,-1.57,1,5
16961,ALGOUSDT_15m_orders.xlsx,ALGOUSDT,15m,bearish_divergence_1-3,2,3.35,1.1093,20/08/2021 05:15,1629436499999,1.0826,1629460799999,1,2.0,1,4
246629,KNCUSDT_15m_orders.xlsx,KNCUSDT,15m,bearish_divergence_1-3,2,1.36,1.891,20/08/2021 05:15,1629436499999,1.919,1629436499999,0,-1.36,1,5
286920,MKRUSDT_15m_orders.xlsx,MKRUSDT,15m,bearish_divergence_1-3,2,1.04,3759.6,20/08/2021 05:15,1629436499999,3807.9,1629442799999,0,-1.04,1,6
353695,RUNEUSDT_15m_orders.xlsx,RUNEUSDT,15m,bearish_divergence_1-3,2,2.1,8.987,20/08/2021 05:15,1629436499999,9.399,1629438299999,0,-2.1,1,7
364072,SCUSDT_15m_orders.xlsx,SCUSDT,15m,bearish_divergence_1-3,2,1.17,0.018602,20/08/2021 06:30,1629440999999,0.0189,1629470699999,0,-1.17,-1,-1
